title,type,release_year,rating,listed_in,description,similarity_score,source_title
The Letter Reader,Movie,2019,TV-PG,"Dramas, International Movies",A young boy from Johannesburg arrives in KwaZulu-Natal and begins to read letters for villagers — then falls in love with one of the recipients.,0.25515115,LeapFrog: Letter Factory
American Factory,Movie,2019,TV-14,Documentaries,"In this documentary, hopes soar when a Chinese company reopens a shuttered factory in Ohio. But a culture clash threatens to shatter an American dream.",0.24007273,LeapFrog: Letter Factory
Charlie and the Chocolate Factory,Movie,2005,PG,"Children & Family Movies, Comedies",The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.,0.19618674,LeapFrog: Letter Factory
Inxeba,Movie,2017,TV-MA,"Dramas, Independent Movies, International Movies","At an initiation ritual for the young men of his Xhosa community, a closeted factory hand meets a Johannesburg teen who discovers his best-kept secret.",0.16157651,LeapFrog: Letter Factory
Cowspiracy: The Sustainability Secret,Movie,2014,TV-PG,Documentaries,Learn how factory farming is decimating the planet's natural resources – and why this crisis has been largely ignored by major environmental groups.,0.15906656,LeapFrog: Letter Factory
Aziz Ansari Live at Madison Square Garden,Movie,2015,TV-MA,Stand-Up Comedy,"Stand-up comedian and TV star Aziz Ansari (""Parks and Recreation"") delivers his sharp-witted take on immigrants, relationships and the food industry.",0.6957989,Aziz Ansari: RIGHT NOW
Aziz Ansari: Buried Alive,Movie,2013,TV-MA,Stand-Up Comedy,"""Parks and Recreation"" star Aziz Ansari takes the stage to share his unfiltered views on adulthood, babies, marriage, love and more in the modern era.",0.644228,Aziz Ansari: RIGHT NOW
Master of None,TV Show,2021,TV-MA,"TV Comedies, TV Dramas",Dev tries to jump-start his acting career and elevate his dating game with help from his eclectic group of friends in this award-winning series.,0.4390628,Aziz Ansari: RIGHT NOW
Parks and Recreation,TV Show,2015,TV-14,TV Comedies,"In this Emmy-nominated comedy, an employee with a rural Parks and Recreation department is full of energy and ideas but bogged down by bureaucracy.",0.2429372,Aziz Ansari: RIGHT NOW
30 Minutes or Less,Movie,2011,R,"Action & Adventure, Comedies",Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery — with a strict time limit.,0.2334658,Aziz Ansari: RIGHT NOW
"Hello, Love, Goodbye",Movie,2019,TV-14,"Dramas, International Movies, Romantic Movies","In Hong Kong, the lives of two overseas Filipino workers intertwine as they navigate daily duties, career aspirations and romantic possibilities.",0.30230162,Three Words to Forever
The Hows of Us,Movie,2018,TV-14,"Dramas, International Movies, Romantic Movies","A young couple's house was once a happy home. But with one as the breadwinner and the other looking for a big break, can love still live here?",0.2692666,Three Words to Forever
It Takes a Man and a Woman,Movie,2013,TV-PG,"Comedies, International Movies, Romantic Movies","Laida and Miggy used to be in love, but now they're forced to work together in a professional capacity – and neither is completely over their past.",0.24844325,Three Words to Forever
She's Dating the Gangster,Movie,2014,TV-14,"Dramas, International Movies, Romantic Movies","To make another woman jealous, a campus heartthrob asks a fellow student to be his pretend girlfriend, but fate has other plans for the fake couple.",0.24727608,Three Words to Forever
You Changed My Life,Movie,2009,TV-PG,"Comedies, Dramas, International Movies","Laida and Miggy think they've found perfect happiness with each other, until their burgeoning careers force them into a long-distance relationship.",0.24620089,Three Words to Forever
Lilli,Movie,2018,TV-MA,"Dramas, Independent Movies, International Movies","A woman who's about to give birth finds her maternal instincts kicking in when she's abducted, imprisoned and brutalized by a vicious gang.",0.20938873,​Goli Soda 2
Taxi Driver,Movie,2015,TV-MA,"Comedies, Dramas, Independent Movies","After his father dies, a young mechanic moves to the city to drive the old man’s taxi, and encounters assassins and a motley crew of urban weirdos.",0.19314092,​Goli Soda 2
Truckbhar Swapna,Movie,2018,TV-14,"Comedies, Dramas, International Movies",A taxi driver living in a Mumbai slum seeks to better his family's life by building an extension of his home while dealing with a lecherous contractor.,0.18328795,​Goli Soda 2
Barah Aana,Movie,2009,TV-14,"Dramas, International Movies","After futile attempts to better their lives with honest work, three broke friends opt for a more dubious means of making money: kidnapping for ransom.",0.17757407,​Goli Soda 2
Taxi Ballad,Movie,2012,TV-MA,"Dramas, International Movies",A taxi driver new to Beirut forms an unlikely bond with a bored American Pilates instructor who loves hearing him tell stories about his past.,0.17120636,​Goli Soda 2
Ugly Delicious,TV Show,2020,TV-MA,Docuseries,"All the flavor. None of the BS. Star chef David Chang leads friends on a mouthwatering, cross-cultural hunt for the world's most satisfying grub.",0.37781668,"Breakfast, Lunch & Dinner"
The Mind of a Chef,TV Show,2016,TV-PG,Docuseries,Producer and narrator Anthony Bourdain explores the creative processes of international celebrity chefs to learn what fuels their culinary artistry.,0.2537523,"Breakfast, Lunch & Dinner"
Seth Rogen's Hilarity for Charity,Movie,2018,TV-MA,Stand-Up Comedy,"Seth Rogen and friends combine stand-up, sketches and music for an outrageous comedy special that could only come from the mind of Seth.",0.24306665,"Breakfast, Lunch & Dinner"
"Fresh, Fried & Crispy",TV Show,2021,TV-PG,Reality TV,"Passionate about food and ready for fun, critic Daym Drops drops in on America's smokin' hot spots for the best, freshest takes on fried food.",0.20796941,"Breakfast, Lunch & Dinner"
The Chef Show,TV Show,2020,TV-MA,Docuseries,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends.",0.20689705,"Breakfast, Lunch & Dinner"
Too Hot to Handle: Brazil,TV Show,2021,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows","Sizzling hot young Brazilians meet at a dreamy beach resort. But for a shot at R$500,000 in this fun reality show, they'll have to give up sex.",0.50211734,Dating Around: Brazil
Dating Around,TV Show,2020,TV-MA,"Reality TV, Romantic TV Shows","In each episode of flirtations and fails, one real-life single navigates five blind dates. The mission: Find one match worthy of a second date.",0.36934444,Dating Around: Brazil
The Circle Brazil,TV Show,2020,TV-MA,"International TV Shows, Reality TV","Be yourself or someone else? In this fun reality competition, online players try their best to flirt, bond and catfish their way to a R$300,000 prize.",0.34874982,Dating Around: Brazil
Too Hot To Handle: Latino,TV Show,2021,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows","On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",0.29931825,Dating Around: Brazil
Age Gap Love,TV Show,2017,TV-MA,"British TV Shows, Reality TV, Romantic TV Shows","Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin.",0.29760107,Dating Around: Brazil
Pup Star: World Tour,Movie,2018,G,"Children & Family Movies, Comedies, Music & Musicals","Talented pooches from around the world compete to be the next Pup Star, but behind-the-scenes schemes threaten to ruin the fun.",0.47614667,Pup Star: Better 2Gether
Puppy Star Christmas,Movie,2018,PG,"Children & Family Movies, Comedies","A new pack of Pup Star pooches stumbles upon a rival team’s plan to ruin Christmas, then ends up at the North Pole to try and save the holiday spirit.",0.4065016,Pup Star: Better 2Gether
Pup Star,Movie,2016,G,"Children & Family Movies, Comedies","After a singing pup with big dreams of stardom gets dognapped and escapes with a friend's help, her journey home is a fun, music-filled adventure.",0.31602728,Pup Star: Better 2Gether
Benji: Off the Leash,Movie,2004,PG,"Children & Family Movies, Dramas","Benji is back in this charming story that's told from the pooch's point of view, tracking his early days as a pup to his current life in showbiz.",0.1595275,Pup Star: Better 2Gether
Go Dog Go,TV Show,2021,TV-Y,Kids' TV,"Handy and inventive pup Tag chases adventure with her best pal, Scooch, solving problems and helping the citizens of Pawston along the way.",0.15683597,Pup Star: Better 2Gether
25 Kille,Movie,2016,TV-14,"Action & Adventure, Dramas, International Movies","Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.",0.24964184,Sardar Ka Grandson
Celluloid Man,Movie,2012,TV-PG,"Documentaries, International Movies","This documentary chronicles the philosophy and life's work of archivist P.K. Nair, who made a mission of preserving Indian cinema’s rich history.",0.2267406,Sardar Ka Grandson
The Legend of Bhagat Singh,Movie,2002,TV-14,"Dramas, International Movies","This biopic chronicles the life and times of iconic Indian revolutionary Bhagat Singh, who led an armed resistance against the British in the 1920.",0.21262306,Sardar Ka Grandson
Chauthi Koot,Movie,2015,TV-14,"Dramas, Independent Movies, International Movies",Related tales of a family seeking refuge and two men on a train to Amritsar evoke the dreadful unease surrounding Hindu-Sikh tensions in 1980s Punjab.,0.20339605,Sardar Ka Grandson
Thithi,Movie,2015,TV-MA,"Dramas, Independent Movies, International Movies","In a South Indian village, a centenarian's funeral brings together his free-spirited son, inheritance-hungry grandson and girl-crazy great-grandson.",0.20161588,Sardar Ka Grandson
Leah Remini: Scientology and the Aftermath,TV Show,2018,TV-14,Docuseries,Former Scientology members share detailed accounts of alleged abuse and harassment by the Church in this docuseries from actress Leah Remini.,0.18194146,The Letdown
Bhaag Beanie Bhaag,TV Show,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies","Facing disapproving parents, a knotty love life and her own inner critic, an aspiring comic ditches her cushy but unsatisfying life to pursue stand-up.",0.1789648,The Letdown
Monkey Twins,TV Show,2018,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure","Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.",0.17468345,The Letdown
Sleepless Society: Insomnia,TV Show,2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","Haunted by recurring visions, a young woman with insomnia visits an old home to solve a mystery and put her nightmares to an end.",0.16869816,The Letdown
Audrey,Movie,2020,TV-14,Documentaries,"An intimate portrait of legendary Hollywood actress, fashion icon and humanitarian Audrey Hepburn, who stood for love above all else.",0.16290808,The Letdown
All the Freckles in the World,Movie,2020,TV-14,"Comedies, International Movies, Romantic Movies",Thirteen-year-old José Miguel is immune to 1994 World Cup fever until he realizes soccer is the only way to win the heart of his crush.,0.24675247,Lusers
Felipe Esparza: Bad Decisions,TV Show,2020,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies","Two live performances, one in English and one in Spanish. No matter the language, Felipe Esparza is muy muy.",0.21796267,Lusers
Penalty Kick,Movie,2018,TV-14,"Comedies, Dramas, International Movies","Convinced Mexico will lose the World Cup qualifier without him, a soccer superfan faces an impossible choice when family obligations stand in his way.",0.20159969,Lusers
The Perfect Day,Movie,2018,TV-14,"Documentaries, International Movies, Sports Movies","French soccer fans, celebrities and athletes retrace the exhilarating events of July 12, 1998, as France earned a historic win in the World Cup final.",0.19697943,Lusers
Tragic Jungle,Movie,2021,TV-MA,"Dramas, Independent Movies, International Movies","To escape an arranged marriage, a woman flees into the depths of the Mayan jungle, where untamed nature merges the human and the supernatural.",0.19245641,Lusers
The Snitch Cartel: Origins,TV Show,2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Over four decades, two brothers in Cali juggle family duties, multiple romances and illegal businesses, transforming from poor kids to cocaine kingpins.",0.30224615,Cocaine Coast
La Viuda Negra,TV Show,2016,TV-14,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Beautiful and ruthless Griselda Blanco, known as the queen of cocaine, becomes Pablo Escobar's boss and governs a world of deceit and death.",0.30106792,Cocaine Coast
Cocaine,TV Show,2005,TV-14,"British TV Shows, Crime TV Shows, Docuseries","Three films chronicle the cocaine trade's sweeping impact on the citizens of Peru, Brazil and Colombia, from poor farmers to powerful drug lords.",0.292279,Cocaine Coast
Vientos de agua,TV Show,2006,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas","José Olaya, a Spanish miner, emigrates to Argentina in 1934, while his son, an architect, moves to Spain after Argentina's economic collapse in 2001.",0.2875111,Cocaine Coast
High Seas,TV Show,2020,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.,0.2835794,Cocaine Coast
Louis C.K. 2017,Movie,2017,74 min,Movies,"Louis C.K. muses on religion, eternal love, giving dogs drugs, email fights, teachers and more in a live performance from Washington, D.C.",0.4012762,My Scientology Movie
Louis C.K.: Hilarious,Movie,2010,84 min,Movies,"Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee, offering up his unique and uncensored take on sex, parenting and more.",0.39754084,My Scientology Movie
Louis C.K.: Live at the Comedy Store,Movie,2015,66 min,Movies,"The comic puts his trademark hilarious/thought-provoking spin on finding a bat in his kitchen, seeing rats having sex, Boston accents and dead pets.",0.29536954,My Scientology Movie
One Take,Movie,2020,TV-G,"Documentaries, International Movies, Music & Musicals",Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.,0.22023408,My Scientology Movie
They’ll Love Me When I’m Dead,Movie,2018,TV-MA,Documentaries,"Actors, crew members and others who were there discuss the tumultuous creation of Orson Welles's final, unfinished film, “The Other Side of the Wind.”",0.20052156,My Scientology Movie
Disappearance,TV Show,2018,TV-MA,"International TV Shows, TV Dramas, TV Mysteries","A university lecturer in Russia returns to Egypt after her husband's sudden disappearance, uncovering further mysteries the more she investigates.",0.29944062,The Disappearance of Madeleine McCann
The Breaker Upperers,Movie,2018,TV-MA,"Comedies, Independent Movies, International Movies","For the right price, BFFs Jen and Mel will ruthlessly end any romance. But when one of them grows a conscience, their friendship begins to unravel.",0.23587765,The Disappearance of Madeleine McCann
American Murder: The Family Next Door,Movie,2020,TV-MA,Documentaries,"Using raw, firsthand footage, this documentary examines the disappearance of Shanann Watts and her children, and the terrible events that followed.",0.21787643,The Disappearance of Madeleine McCann
"Ayotzinapa, el paso de la tortuga",Movie,2018,TV-MA,"Documentaries, International Movies","Delving into the disappearance of 43 college students in Mexico, this documentary seeks to give justice and a voice to the victims and their families.",0.20556672,The Disappearance of Madeleine McCann
Ég man þig,Movie,2017,TV-MA,"Horror Movies, International Movies","Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.",0.20528898,The Disappearance of Madeleine McCann
Vir Das: Outside In - The Lockdown Special,Movie,2020,TV-MA,Stand-Up Comedy,Stage banter takes on a different — deeper — meaning as the comedian performs online shows to homebound viewers worldwide from his Mumbai residence.,0.7831252,Vir Das: For India
Vir Das: Abroad Understanding,Movie,2017,TV-MA,Stand-Up Comedy,"Comedian Vir Das tackles nationalism, globalism, good food and bad politics in two cleverly crosscut performances in New York and New Delhi.",0.7289579,Vir Das: For India
Vir Das: Losing It,Movie,2018,TV-MA,Stand-Up Comedy,"The world's got a lot of problems, but Vir Das has a lot of answers as he discusses travel, religion, his childhood and more in this stand-up special.",0.6951723,Vir Das: For India
Bulbul Can Sing,Movie,2018,TV-14,"Dramas, Independent Movies, International Movies","Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy.",0.4448036,Vir Das: For India
ViR: The Robot Boy,TV Show,2013,TV-Y7,Kids' TV,"Humanoid robot boy ViR lives with his inventor, Dr. Prem Sahay, and, with his best friends, is always ready to use his superpowers to save the day.",0.34062955,Vir Das: For India
The Rat Race,Movie,2010,TV-PG,"Documentaries, International Movies","Examine the troublesome coexistence of humans and rodents in Mumbai, where the byproducts of a big economy have led to a thriving rat population.",0.20752382,Knock Down The House
Women Behind Bars,TV Show,2010,TV-14,"Crime TV Shows, Docuseries","This reality series recounts true stories of women who have been convicted for murder, including an in-depth examination of each crime.",0.1964773,Knock Down The House
The Big Show Show,TV Show,2020,TV-G,"Kids' TV, TV Comedies",Former WWE wrestler the Big Show is out of the ring and ready for an even tougher challenge: raising three daughters with his wife in Florida.,0.1933316,Knock Down The House
13TH,Movie,2016,TV-MA,Documentaries,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",0.18943864,Knock Down The House
The Rachel Divide,Movie,2018,TV-MA,Documentaries,"Rachel Dolezal, her family and her critics reckon with the aftermath of a national debate sparked by questions about her racial identity.",0.189423,Knock Down The House
The Truth About Alcohol,Movie,2016,TV-14,"Documentaries, International Movies","Emergency room doctor Javid Abdelmoneim endeavors to learn the truth about alcohol, both its benefits and risks, by exploring the science of drinking.",0.17352526,The Ugly Truth
Results,Movie,2015,R,"Comedies, Independent Movies","After an ugly divorce, a wealthy but unhappy man trains at a local gym and develops a strange relationship with the owner and a captivating trainer.",0.1729528,The Ugly Truth
Mischief,Movie,2019,TV-PG,"Comedies, Dramas, Independent Movies","Mistaking the sleeping passenger on his train for a drunk, a young man posts a picture of him online, unaware of his impulsive act's ugly repercussions.",0.15907295,The Ugly Truth
Annabelle Hooper and the Ghosts of Nantucket,Movie,2016,TV-PG,Children & Family Movies,"While vacationing on picturesque Nantucket, a crafty teenage mystery writer contends with two thieves as she tries to solve a ghostly conundrum.",0.14925313,The Ugly Truth
Playing for Keeps,Movie,2012,PG-13,"Comedies, Romantic Movies, Sports Movies","A washed-up, former soccer star attempts to rebuild his relationship with his son and ex-wife by coaching his son's soccer team.",0.14687923,The Ugly Truth
Monster Hunter: Legends of the Guild,Movie,2021,TV-PG,"Action & Adventure, Anime Features, Children & Family Movies","In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon.",0.2083165,"10,000 B.C."
Emogenius,TV Show,2017,TV-PG,Reality TV,"Two pairs of contestants go head-to-head for several rounds, deciphering puzzles and messages comprised of emojis for a chance at a $10,000 prize.",0.19314012,"10,000 B.C."
Life in the Doghouse,Movie,2018,TV-PG,"Documentaries, LGBTQ Movies","A couple operates a bustling dog rescue out of their own home, vowing to give a safe space to the neediest pups on the planet – 10,000 and counting.",0.17725357,"10,000 B.C."
Mo Gilligan: Momentum,Movie,2019,TV-MA,Stand-Up Comedy,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",0.16346362,"10,000 B.C."
Liar's Dice,Movie,2013,TV-MA,"Dramas, Independent Movies, International Movies",A woman from a small mountain village disobeys her village elders and sets out for the big city in search of her missing husband.,0.14487156,"10,000 B.C."
School Daze,Movie,1988,R,"Comedies, Dramas","At a Historically Black College, a student activist and his cousin pledging a fraternity navigate social divides amid parties, protests and conflicts.",0.26207173,Do the Right Thing
Rodney King,Movie,2017,TV-MA,Dramas,Roger Guenveur Smith gives voice to the man at the center of the brutal police beating that helped fuel the 1992 LA riots. Spike Lee directs.,0.2503236,Do the Right Thing
Da 5 Bloods,Movie,2020,R,"Action & Adventure, Dramas",Four African American veterans return to Vietnam decades after the war to find their squad leader's remains — and a stash of buried gold. From Spike Lee.,0.23236012,Do the Right Thing
The Original Kings of Comedy,Movie,2000,R,Stand-Up Comedy,"Comedians Steve Harvey, Cedric the Entertainer, D.L. Hughley and Bernie Mac hit the stage in an iconic stand-up concert directed by Spike Lee.",0.17346129,Do the Right Thing
The Show,Movie,2017,TV-MA,Dramas,A disillusioned reality TV host and an idealistic producer are lured by their network into producing a show in which participants kill themselves.,0.17003906,Do the Right Thing
Mission Control: The Unsung Heroes of Apollo,Movie,2017,TV-14,Documentaries,"Combining archive footage with present-day interviews, this documentary explores how Apollo's mission control helped change the course of history.",0.2138576,Apache Warrior
David Foster: Off the Record,Movie,2019,TV-MA,"Documentaries, Music & Musicals","From child prodigy to iconic music producer, David Foster shares the stories behind his success with rare footage and interviews with his collaborators.",0.20149134,Apache Warrior
Puriyatha Puthir,Movie,2017,TV-MA,"International Movies, Thrillers",An aspiring music director begins to receive voyeuristic footage of his girlfriend from her apparent stalker as tragedy strikes those around him.,0.20061365,Apache Warrior
Regiment Diaries,TV Show,2020,TV-PG,"Docuseries, International TV Shows","Historical footage and interviews with soldiers showcase war stories, unique traditions and unifying principles of the Indian Army’s various regiments.",0.19015,Apache Warrior
History 101,TV Show,2020,TV-14,"British TV Shows, Docuseries, International TV Shows","Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries.",0.18671203,Apache Warrior
Natural Born Pranksters,Movie,2016,R,Comedies,"The biggest pranksters on YouTube – VitalyzdTV, Dennis Roady and Roman Atwood – turn Hollywood into ""Prankwood"" with their most over-the-top stunts.",0.264637,One in a Billion
Pranaam,Movie,2019,TV-14,"Action & Adventure, Dramas, International Movies","Aspiring to fulfill his father’s dream and become a civil services officer, a young man loses his way upon becoming entangled with a criminal lynchpin.",0.24926676,One in a Billion
Penalty,Movie,2019,TV-14,"Dramas, Independent Movies, International Movies","At a Lucknow college, an aspiring football player’s dream of playing nationally is threatened when he faces discrimination for his Manipuri background.",0.23301443,One in a Billion
Kacche Dhaagey,Movie,2016,TV-14,"Dramas, International Movies, Romantic Movies","While visiting India for her cousin's wedding, a Canadian girl develops strong feelings for a boy from a lower caste.",0.23090872,One in a Billion
Gelo,Movie,2016,TV-MA,"Dramas, International Movies",A Punjabi woman who works on a farm must endure the difficulties of living in an oppressive class-based society and a dysfunctional community.,0.22534293,One in a Billion
Love for Sale 2,Movie,2019,TV-14,"Dramas, International Movies, Romantic Movies","Exhausted with his mother’s failed attempts at setting him up with women, Ican hires an ideal partner from a matchmaking app.",0.22820297,Dead in a Week (Or Your Money Back)
Polar,Movie,2019,TV-MA,"Action & Adventure, International Movies","An assassin on the verge of retirement must put the good life on hold when his greedy boss sends a squad of young, ruthless killers to take him out.",0.1847622,Dead in a Week (Or Your Money Back)
Dedemin Fisi,Movie,2016,TV-14,"Comedies, International Movies","When a brain-dead family patriarch is about to be taken off life support, his extended family gathers round and plots to see who'll get his money.",0.17048573,Dead in a Week (Or Your Money Back)
Tom Segura: Completely Normal,Movie,2014,TV-MA,Stand-Up Comedy,Levelheaded stand-up Tom Segura shares offhand appraisals on hotels and opens up about his hobbies and digestive ailments in this comedy special.,0.14595868,Dead in a Week (Or Your Money Back)
Sat Shri Akaal England,Movie,2017,TV-14,"Comedies, Dramas, International Movies","After several failed attempts to obtain a visa, a man desperate to escape Punjab pays a British woman to marry him so he can move to England.",0.14005466,Dead in a Week (Or Your Money Back)
Click for Murder,TV Show,2017,TV-14,"British TV Shows, Crime TV Shows, Docuseries",Crime journalist Donal MacIntyre reveals how deadly the internet can be as he dissects the technological methods behind heinous acts.,0.30084765,Inside the World’s Toughest Prisons
Inside The Freemasons,TV Show,2017,TV-MA,"British TV Shows, Docuseries, International TV Shows","Explore the history and future of the Freemasons, a fraternal order steeped in both secrecy and tradition.",0.28221822,Inside the World’s Toughest Prisons
The Ripper,TV Show,2020,TV-MA,"British TV Shows, Crime TV Shows, Docuseries","In the late 1970s, British police struggle to identify — let alone capture — the serial killer known throughout the world as the Yorkshire Ripper.",0.2504406,Inside the World’s Toughest Prisons
Inside the Criminal Mind,TV Show,2018,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",Explore the psychological machinations and immoral behavior that define the most nefarious types of criminals.,0.24134272,Inside the World’s Toughest Prisons
World's Most Wanted,TV Show,2020,TV-14,"Crime TV Shows, Docuseries, International TV Shows","Suspected of heinous crimes, they’ve avoided capture despite massive rewards and global investigations. A docuseries profiling the world’s most wanted.",0.23841526,Inside the World’s Toughest Prisons
Quincy,Movie,2018,TV-MA,"Documentaries, Music & Musicals","This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career.",0.2451586,Miss Sharon Jones!
The Black Godfather,Movie,2019,TV-MA,"Documentaries, Music & Musicals","This documentary follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.",0.20128164,Miss Sharon Jones!
Listen Up! The Lives of Quincy Jones,Movie,1990,TV-14,"Documentaries, Music & Musicals","Steering clear of convention, this affecting documentary pays tribute to the life and work of composer, musician and producer Quincy Jones, one of the best-known and most respected men in the music industry.",0.20121631,Miss Sharon Jones!
Lara and the Beat,Movie,2018,TV-MA,"Dramas, International Movies, Music & Musicals","When their glamorous, fast-paced lifestyle comes to a screeching halt, two sisters try to rebuild their fortunes through music and enterprise.",0.19522381,Miss Sharon Jones!
Picture a Scientist,Movie,2020,TV-MA,Documentaries,"In this documentary, leading women scientists discuss the inequalities they've faced as they set out to create a new formula to make STEM open to all.",0.19026756,Miss Sharon Jones!
The Crystal Calls Making the Dark Crystal: Age of Resistance,Movie,2019,TV-PG,"Documentaries, International Movies","Go behind the scenes with stars, puppeteers and creators as they bring Jim Henson's magical world of Thra back to life in a sweeping fantasy series.",0.26489356,The Dark Crystal: Age of Resistance
The Cloverfield Paradox,Movie,2018,PG-13,"Action & Adventure, Sci-Fi & Fantasy","Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.",0.18296121,The Dark Crystal: Age of Resistance
Black Mirror,TV Show,2019,TV-MA,"British TV Shows, International TV Shows, TV Dramas","This sci-fi anthology series explores a twisted, high-tech near-future where humanity's greatest innovations and darkest instincts collide.",0.17529225,The Dark Crystal: Age of Resistance
The Titan,Movie,2018,TV-MA,"Dramas, Sci-Fi & Fantasy, Thrillers","On a bleak future Earth, a soldier endures a radical genetic transformation to save humanity. But his wife fears he's becoming more creature than man.",0.17275898,The Dark Crystal: Age of Resistance
Terminator Salvation,Movie,2009,PG-13,"Action & Adventure, Sci-Fi & Fantasy","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against increasingly dominating militaristic robots.",0.16920023,The Dark Crystal: Age of Resistance
Full Out 2: You Got This!,Movie,2020,TV-Y,"Children & Family Movies, Dramas, Sports Movies","With a championship on the line, Chayse and her gymnastics team look to a local break-dancer for all the right moves to rise above their competition.",0.20422041,Surf's Up
Dream Big: Engineering Our World,Movie,2017,TV-G,Documentaries,"Narrated by Jeff Bridges, this compelling documentary examines some incredible achievements of engineering from across the globe.",0.20016521,Surf's Up
The Pixar Story,Movie,2007,G,Documentaries,Go behind the scenes at Pixar Animation Studios with this Emmy-nominated documentary tracing the creation and history of the groundbreaking company.,0.15272553,Surf's Up
The Rebound,Movie,2016,TV-MA,"Documentaries, Sports Movies","This documentary follows three players on the Miami Heat Wheels, who face long odds on the way to the national wheelchair basketball championship.",0.15217236,Surf's Up
Christmas Crossfire,Movie,2020,TV-MA,"Comedies, International Movies, Thrillers","A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him.",0.15007886,Surf's Up
The Wedding Party 2: Destination Dubai,Movie,2017,TV-14,"Comedies, International Movies, Romantic Movies","In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events.",0.38973016,The Wedding Party
The Arbitration,Movie,2016,TV-MA,"Dramas, International Movies",An arbitration panel is formed after a company CEO in Nigeria is sued for wrongful dismissal and rape by an employee with whom he had an affair.,0.29412708,The Wedding Party
Therapy,Movie,2020,TV-PG,"Dramas, International Movies",A young dysfunctional couple tries to patch up their relationship through sessions with a highly unconventional therapist.,0.2660489,The Wedding Party
The Perfect Picture: Ten Years Later,Movie,2019,TV-MA,"Comedies, Dramas, International Movies","From flawed husbands to shaky finances, new complications test a close circle of friends who must lean on each other in a new decade of their lives.",0.26297167,The Wedding Party
Namaste Wahala,Movie,2021,TV-14,"Comedies, Dramas, International Movies",An interracial romance hits humorous and heart-wrenching hiccups as the couple's parents fight tooth and nail against their relationship.,0.26028177,The Wedding Party
Harold and Lillian: A Hollywood Love Story,Movie,2015,TV-14,Documentaries,"Storyboard artist Harold Michelson and his film researcher wife, Lillian, recall the influence they had on 60 years of Hollywood's biggest hits.",0.42359856,Harold Shipman - Driven to Kill
Attacking the Devil: Harold Evans and the Last Nazi War Crime,Movie,2014,TV-14,"Documentaries, International Movies",Intrepid newspaper editor Harold Evans wages an ongoing battle to expose the truth about a dangerous drug and obtain compensation for its victims.,0.41363454,Harold Shipman - Driven to Kill
Harold & Kumar Escape from Guantanamo Bay,Movie,2008,R,"Comedies, Cult Movies",Harold and Kumar jump on a plane to catch up with Harold's love interest but must change their plans when Kumar is accused of being a terrorist.,0.34881958,Harold Shipman - Driven to Kill
